method,selectivity,mask_seed,query,parameter,level_name,recall,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,child_reads_query,latency_ms,valid_count,materialization_ms,materialization_summary_checks,copies_used_mean,active_degree_mean,postfilter_candidate_pool_lower_bound
adaptive_deg,0.001,0,3,256,L3,1.0,743.0,349.0,394,2892.0,349.0,0,0,4.163519000002225,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,3,256,L3,1.0,1056.0,878.0,178,2850.0,878.0,0,0,6.110059999997475,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,3,256,L3,1.0,26901.0,26507.0,394,72531.0,341.0,72531,0,28.2371380000086,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,3,256,L3,1.0,1214.0,820.0,394,2055.0,341.0,3212,3212,8.365885999978673,1040,4.13057899999103,13945,1.0,6.199421965317919,
prefilter_exact,0.001,0,6,0,L3,1.0,1040.0,0.0,1040,0.0,0.0,0,0,0.14101200000027347,1040,0.0,0,0.0,0.0,0.0
postfilter_hnsw,0.001,0,6,500,L3,0.1,,,1,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,500.0
postfilter_hnsw,0.001,0,6,1000,L3,0.3,,,3,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,1000.0
postfilter_hnsw,0.001,0,6,2000,L3,0.5,,,5,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,2000.0
postfilter_hnsw,0.001,0,6,4000,L3,0.8,,,8,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,4000.0
postfilter_hnsw,0.001,0,6,8000,L3,1.0,,,10,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,8000.0
postfilter_hnsw,0.001,0,6,16000,L3,1.0,,,10,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,16000.0
active_c1,0.001,0,6,32,L3,0.8,240.0,186.0,54,281.0,186.0,0,0,1.347751999958291,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,6,32,L3,0.5,293.0,240.0,53,422.0,240.0,0,0,1.1882839999941552,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,6,32,L3,0.5,350.0,290.0,60,772.0,290.0,0,0,1.191607999999178,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,6,32,L3,0.6,392.0,331.0,61,1510.0,331.0,0,0,1.1795400000096379,1040,4.203118000020822,78317,8.0,42.947976878612714,
