selectivity,mask_seed,level_name,method,valid_count,active_cells,point_valid_degree,point_zero_degree,active_degree,active_zero_degree,copies_used_mean
0.01,1,V08,active_c2,9919,4715,0.1306583324931949,0.8782135295896764,21.20593849416755,0.0,2.0
0.01,1,V08,active_c4,9919,4715,0.1306583324931949,0.8782135295896764,40.64644750795334,0.0,4.0
0.01,1,V08,active_c8,9919,4715,0.1306583324931949,0.8782135295896764,74.71007423117709,0.0,8.0
0.01,1,V08,adaptive_deg,9919,4715,0.1306583324931949,0.8782135295896764,12.272110286320254,0.0,1.1683987274655356
0.01,1,V08,router1hop,9919,4715,0.1306583324931949,0.8782135295896764,17.052810180275717,0.0,1.0
0.01,2,V08,active_c1,9917,4775,0.12463446606836745,0.8815165876777251,10.96586387434555,0.0,1.0
0.01,2,V08,active_c2,9917,4775,0.12463446606836745,0.8815165876777251,21.477696335078534,0.0,2.0
0.01,2,V08,active_c4,9917,4775,0.12463446606836745,0.8815165876777251,41.07434554973822,0.0,4.0
0.01,2,V08,active_c8,9917,4775,0.12463446606836745,0.8815165876777251,75.31560209424084,0.0,8.0
0.01,2,V08,adaptive_deg,9917,4775,0.12463446606836745,0.8815165876777251,12.278115183246074,0.0,1.1549738219895287
0.01,2,V08,router1hop,9917,4775,0.12463446606836745,0.8815165876777251,17.004607329842933,0.0,1.0
0.02,0,L2,active_c1,19797,9410,0.258675556902561,0.7695610446027176,11.332837407013814,0.0,1.0
0.02,0,L2,active_c2,19797,9410,0.258675556902561,0.7695610446027176,22.08692879914984,0.0,2.0
0.02,0,L2,active_c4,19797,9410,0.258675556902561,0.7695610446027176,41.94750265674814,0.0,4.0
0.02,0,L2,active_c8,19797,9410,0.258675556902561,0.7695610446027176,75.81147715196599,0.0,8.0
0.02,0,L2,adaptive_deg,19797,9410,0.258675556902561,0.7695610446027176,12.431562167906483,0.0,1.1339001062699257
0.02,0,L2,router1hop,19797,9410,0.258675556902561,0.7695610446027176,17.187035069075453,0.0,1.0
0.02,1,L2,active_c1,19795,9419,0.24890123768628442,0.7777216468805254,11.3621403546024,0.0,1.0
0.02,1,L2,active_c2,19795,9419,0.24890123768628442,0.7777216468805254,22.1114768022083,0.0,2.0
0.02,1,L2,active_c4,19795,9419,0.24890123768628442,0.7777216468805254,42.08153731818664,0.0,4.0
0.02,1,L2,active_c8,19795,9419,0.24890123768628442,0.7777216468805254,76.17050642318718,0.0,8.0
0.02,1,L2,adaptive_deg,19795,9419,0.24890123768628442,0.7777216468805254,12.512793290158191,0.0,1.1390805818027392
0.02,1,L2,router1hop,19795,9419,0.24890123768628442,0.7777216468805254,17.199702728527445,0.0,1.0
0.02,2,L2,active_c1,19799,9441,0.25375018940350524,0.7737259457548361,11.286092574939095,0.0,1.0
0.02,2,L2,active_c2,19799,9441,0.25375018940350524,0.7737259457548361,22.01101578222646,0.0,2.0
0.02,2,L2,active_c4,19799,9441,0.25375018940350524,0.7737259457548361,41.85022773011334,0.0,4.0
0.02,2,L2,active_c8,19799,9441,0.25375018940350524,0.7737259457548361,75.75638173922253,0.0,8.0
0.02,2,L2,adaptive_deg,19799,9441,0.25375018940350524,0.7737259457548361,12.479080605868022,0.0,1.1445821417222752
0.02,2,L2,router1hop,19799,9441,0.25375018940350524,0.7737259457548361,17.165024891430992,0.0,1.0
