selectivity,method,level_name,recall,distance_computations,adjacency_reads,avg_copies_per_expansion,progress_fraction,geo_fallbacks,router_fallbacks,summary_checks_query,latency_ms
0.01,progress8,L2,0.86,1148.4333333333334,3437.4333333333334,1.2566732423745506,0.1267874333687266,43.3,0.0,3437.4333333333334,10.643610800002534
0.01,theory_c,L2,0.8766666666666667,1392.9666666666667,5056.7,2.0,0.1061327186229725,0.0,0.0,5056.7,9.593210266666574
0.02,degree4,L2,0.7833333333333333,1452.8666666666666,2514.5,1.000438896488828,0.0986026370495135,0.0,0.0,2514.5,8.52245446666681
0.02,degree8,L2,0.7833333333333333,1469.8666666666666,2586.233333333333,1.0438568895722338,0.0975688155758438,0.0,0.0,2586.233333333333,8.547849099999402
0.02,fixed_c1,L2,0.7833333333333333,1448.3666666666666,2503.633333333333,1.0,0.098360748815989,0.0,0.0,2503.633333333333,8.529597566669622
0.02,fixed_c2,L2,0.83,1947.4,4936.2,2.0,0.0834211513374638,0.0,0.0,4936.2,9.961276800000482
0.02,progress4,L2,0.8266666666666667,1488.1666666666667,2857.1666666666665,1.0010016690881416,0.1069526560414456,46.86666666666667,0.0,2857.1666666666665,10.759761333330667
0.02,progress4_router,L2,0.8133333333333332,1544.6333333333334,3108.3,1.0005848403232014,0.0998049720053539,45.96666666666667,14.133333333333333,3108.3,11.72818946666704
0.02,progress8,L2,0.8266666666666667,1510.1,2941.2,1.0442679093100506,0.1058870610261761,46.36666666666667,0.0,2941.2,10.846298699997684
0.02,theory_c,L2,0.7833333333333333,1448.3666666666666,2503.633333333333,1.0,0.098360748815989,0.0,0.0,2503.633333333333,8.519706433337623
