method,selectivity,parameter,level_name,recall,recall_p10,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,copy_lists_read,expanded_active_cells,avg_copies_per_expansion,active_edges_exposed,improving_edges,progress_fraction,geo_fallbacks,router_fallbacks,latency_ms,valid_count,theory_copies
progress4,0.002,32,L3,0.7566666666666666,0.59,333.4,252.83333333333334,80.56666666666666,724.1333333333333,252.83333333333334,724.1333333333333,32.666666666666664,32.46666666666667,1.0061887254901962,446.8333333333333,48.56666666666667,0.10983789633288604,17.533333333333335,0.0,3.0099725000004205,2016.6666666666667,1.0
progress4,0.002,64,L3,0.8833333333333333,0.7,510.56666666666666,357.73333333333335,152.83333333333334,1354.2,357.73333333333335,1354.2,64.86666666666666,64.43333333333334,1.0067229992229991,813.8666666666667,115.0,0.14218043152414456,24.066666666666666,0.0,5.197741400000193,2016.6666666666667,1.0
progress4,0.002,128,L3,0.9700000000000001,0.9,740.4333333333333,457.8333333333333,282.6,2541.3,457.8333333333333,2541.3,129.06666666666666,128.33333333333334,1.0057130789107533,1495.0,294.2,0.19752701509059278,29.166666666666668,0.0,8.827671600003365,2016.6666666666667,1.0
progress4,0.002,256,L3,1.0,1.0,1050.1,521.3333333333334,528.7666666666667,4798.666666666667,521.3333333333334,4798.666666666667,257.5,256.1666666666667,1.0052063106719855,2768.866666666667,830.5333333333333,0.3003068466385611,32.333333333333336,0.0,13.957992100005375,2016.6666666666667,1.0
progress4_router,0.002,32,L3,0.7433333333333334,0.5,362.76666666666665,287.1666666666667,75.6,804.1333333333333,260.1,804.1333333333333,30.333333333333332,30.133333333333333,1.0066942376619796,442.96666666666664,43.666666666666664,0.09925783789660116,16.9,4.966666666666667,3.2836574666598985,2016.6666666666667,1.0
progress4_router,0.002,64,L3,0.8666666666666667,0.7,542.1666666666666,399.46666666666664,142.7,1448.4,366.56666666666666,1448.4,59.8,59.4,1.006854886887326,808.6333333333333,102.63333333333334,0.12775257925486297,23.8,6.033333333333333,5.598396300000748,2016.6666666666667,1.0
progress4_router,0.002,128,L3,0.9633333333333333,0.9,769.0333333333333,504.0,265.03333333333336,2640.633333333333,467.3,2640.633333333333,119.63333333333334,118.96666666666667,1.0056408961760892,1489.5666666666666,264.0,0.17777641772189973,29.1,6.633333333333334,9.353096599998404,2016.6666666666667,1.0
progress4_router,0.002,256,L3,1.0,1.0,1075.9333333333334,570.4666666666667,505.46666666666664,4917.1,532.4666666666667,4917.1,245.0,243.66666666666666,1.0055131051169968,2775.6666666666665,770.7333333333333,0.27801199531263177,32.2,6.866666666666666,14.824045600001531,2016.6666666666667,1.0
progress8,0.002,32,L3,0.77,0.6,352.3,272.03333333333336,80.26666666666667,817.2333333333333,272.03333333333336,817.2333333333333,38.7,32.56666666666667,1.1885392793481029,496.06666666666666,49.2,0.09966818638485865,16.333333333333332,0.0,3.0448928999940486,2016.6666666666667,1.0
progress8,0.002,64,L3,0.8966666666666666,0.7,529.8,376.8,153.0,1535.3,376.8,1535.3,76.5,64.36666666666666,1.1885843147317028,907.9,121.03333333333333,0.13371323666923435,21.866666666666667,0.0,5.240230200000913,2016.6666666666667,1.0
progress8,0.002,128,L3,0.9733333333333333,0.9,753.0666666666667,469.93333333333334,283.1333333333333,2911.233333333333,469.93333333333334,2911.233333333333,152.63333333333333,128.26666666666668,1.1900024224806203,1689.2666666666667,326.1333333333333,0.19346641839238676,25.5,0.0,8.880464599996193,2016.6666666666667,1.0
progress8,0.002,256,L3,1.0,1.0,1056.0333333333333,527.3666666666667,528.6666666666666,5611.633333333333,527.3666666666667,5611.633333333333,309.23333333333335,256.2,1.2070055877296173,3202.633333333333,971.8666666666667,0.30365647041546473,26.666666666666668,0.0,14.124490399999937,2016.6666666666667,1.0
theory_c,0.002,32,L3,0.6066666666666667,0.3,320.26666666666665,240.5,79.76666666666667,613.6333333333333,240.5,613.6333333333333,34.1,34.1,1.0,356.6666666666667,35.03333333333333,0.09879387406942643,0.0,0.0,2.288571499998208,2016.6666666666667,1.0
theory_c,0.002,64,L3,0.83,0.6,499.1333333333333,348.26666666666665,150.86666666666667,1166.5333333333333,348.26666666666665,1166.5333333333333,64.76666666666667,64.76666666666667,1.0,669.2,81.96666666666667,0.12319900914105834,0.0,0.0,4.188842633335336,2016.6666666666667,1.0
theory_c,0.002,128,L3,0.9666666666666667,0.9,737.4333333333333,455.06666666666666,282.3666666666667,2295.5666666666666,455.06666666666666,2295.5666666666666,128.26666666666668,128.26666666666668,1.0,1305.2,241.26666666666668,0.18542062220571404,0.0,0.0,7.508490966665704,2016.6666666666667,1.0
theory_c,0.002,256,L3,1.0,1.0,1049.7,521.0,528.7,4519.333333333333,521.0,4519.333333333333,256.1666666666667,256.1666666666667,1.0,2555.3333333333335,763.6333333333333,0.2991752718590686,0.0,0.0,12.298571566664881,2016.6666666666667,1.0
degree4,0.003,32,L3,0.6566666666666666,0.4,380.56666666666666,278.43333333333334,102.13333333333334,615.4,278.43333333333334,615.4,34.6,34.6,1.0,419.2,36.266666666666666,0.08707568144247078,0.0,0.0,2.3428260666690903,2895.3333333333335,1.0
degree4,0.003,64,L3,0.8433333333333334,0.6,598.4,402.96666666666664,195.43333333333334,1152.5333333333333,402.96666666666664,1152.5333333333333,64.63333333333334,64.63333333333334,1.0,778.0666666666667,83.76666666666667,0.10815015157505047,0.0,0.0,4.185081999996972,2895.3333333333335,1.0
degree4,0.003,128,L3,0.9633333333333333,0.89,890.7666666666667,529.0333333333333,361.73333333333335,2273.733333333333,529.0333333333333,2273.733333333333,128.16666666666666,128.13333333333333,1.0002604166666667,1513.8666666666666,246.16666666666666,0.16291403110636168,0.0,0.0,7.683425166667727,2895.3333333333335,1.0
degree4,0.003,256,L3,0.9966666666666666,1.0,1274.2333333333333,608.5,665.7333333333333,4502.766666666666,608.5,4502.766666666666,256.26666666666665,256.03333333333336,1.0009114583333334,2974.8333333333335,794.9,0.26740026250145815,0.0,0.0,12.692697766670827,2895.3333333333335,1.0
degree8,0.003,32,L3,0.6799999999999999,0.39000000000000007,391.56666666666666,289.03333333333336,102.53333333333333,658.4333333333333,289.03333333333336,658.4333333333333,37.0,34.53333333333333,1.070972564892702,443.53333333333336,36.2,0.08199838490560876,0.0,0.0,2.3417661666693825,2895.3333333333335,1.0
degree8,0.003,64,L3,0.8533333333333334,0.69,607.0333333333333,411.73333333333335,195.3,1223.2666666666667,411.73333333333335,1223.2666666666667,68.76666666666667,64.4,1.0679129170324846,823.1,87.36666666666666,0.10638915058785225,0.0,0.0,4.2167820666653215,2895.3333333333335,1.0
degree8,0.003,128,L3,0.9766666666666667,0.9,897.4666666666667,535.3333333333334,362.1333333333333,2432.633333333333,535.3333333333334,2432.633333333333,137.6,128.1,1.0741564798250844,1616.3333333333333,264.26666666666665,0.16365458062578836,0.0,0.0,7.761528499999788,2895.3333333333335,1.0
degree8,0.003,256,L3,0.9966666666666666,1.0,1277.0666666666666,611.3666666666667,665.7,4863.8,611.3666666666667,4863.8,278.1,256.03333333333336,1.0861867704280155,3209.5,868.4666666666667,0.2706417017100126,0.0,0.0,12.861479433329729,2895.3333333333335,1.0
fixed_c1,0.003,32,L3,0.6566666666666666,0.4,380.56666666666666,278.43333333333334,102.13333333333334,615.4,278.43333333333334,615.4,34.6,34.6,1.0,419.2,36.266666666666666,0.08707568144247078,0.0,0.0,2.52803626666586,2895.3333333333335,1.0
fixed_c1,0.003,64,L3,0.8433333333333334,0.6,598.4,402.96666666666664,195.43333333333334,1152.5333333333333,402.96666666666664,1152.5333333333333,64.63333333333334,64.63333333333334,1.0,778.0666666666667,83.76666666666667,0.10815015157505047,0.0,0.0,4.224557500002864,2895.3333333333335,1.0
fixed_c1,0.003,128,L3,0.9633333333333333,0.89,890.7666666666667,529.0333333333333,361.73333333333335,2273.233333333333,529.0333333333333,2273.233333333333,128.13333333333333,128.13333333333333,1.0,1513.5333333333333,246.0,0.16284570767900944,0.0,0.0,7.692663199997203,2895.3333333333335,1.0
fixed_c1,0.003,256,L3,0.9966666666666666,1.0,1274.2333333333333,608.5,665.7333333333333,4499.333333333333,608.5,4499.333333333333,256.03333333333336,256.03333333333336,1.0,2972.8333333333335,794.2333333333333,0.2673570543059161,0.0,0.0,12.805945733338339,2895.3333333333335,1.0
fixed_c2,0.003,32,L3,0.7466666666666666,0.5,499.3333333333333,395.93333333333334,103.4,1162.9333333333334,395.93333333333334,1162.9333333333334,65.0,32.5,2.0,758.2,43.266666666666666,0.05753512468063846,0.0,0.0,2.643261166664009,2895.3333333333335,1.0
fixed_c2,0.003,64,L3,0.9266666666666666,0.8,707.4,510.2,197.2,2295.7,510.2,2295.7,128.13333333333333,64.06666666666666,2.0,1495.1666666666667,135.4,0.09111558311480304,0.0,0.0,4.843232599999207,2895.3333333333335,1.0
fixed_c2,0.003,128,L3,0.9866666666666667,0.9,951.6333333333333,588.4666666666667,363.1666666666667,4566.8,588.4666666666667,4566.8,256.06666666666666,128.03333333333333,2.0,2970.5,475.6,0.160429736398332,0.0,0.0,8.43548619999884,2895.3333333333335,1.0
fixed_c2,0.003,256,L3,0.9966666666666666,1.0,1300.1,634.2666666666667,665.8333333333334,9030.933333333332,634.2666666666667,9030.933333333332,512.0666666666667,256.03333333333336,2.0,5850.166666666667,1570.0,0.2686373530458124,0.0,0.0,13.863709800004168,2895.3333333333335,1.0
postfilter_hnsw,0.003,500,L3,0.15666666666666668,0.0,,,1.5666666666666667,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,2895.3333333333335,1.0
postfilter_hnsw,0.003,1000,L3,0.30333333333333334,0.19000000000000006,,,3.033333333333333,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,2895.3333333333335,1.0
postfilter_hnsw,0.003,2000,L3,0.59,0.4,,,5.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,2895.3333333333335,1.0
postfilter_hnsw,0.003,4000,L3,0.9833333333333333,0.9,,,9.833333333333334,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,2895.3333333333335,1.0
postfilter_hnsw,0.003,8000,L3,0.9966666666666666,1.0,,,10.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,2895.3333333333335,1.0
postfilter_hnsw,0.003,16000,L3,0.9966666666666666,1.0,,,10.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,2895.3333333333335,1.0
