selectivity,A,B,recall_A,recall_B,recall_delta,dist_A,dist_B,distance_ratio,edge_ratio,avg_copies_A,progress_A,geo_fallbacks_A,router_fallbacks_A
0.02,theory_c,fixed_c1,0.7833333333333333,0.7833333333333333,0.0,1448.3666666666666,1448.3666666666666,1.0,1.0,1.0,0.098360748815989,0.0,0.0
0.001,degree4,fixed_c1,0.9933333333333334,0.99,0.0033333333333334103,517.8,514.6666666666666,1.0060880829015544,1.0513291093146895,1.0556908107235143,0.2529245739641426,0.0,0.0
0.002,degree4,fixed_c1,0.9666666666666668,0.9666666666666668,0.0,738.0666666666667,737.4333333333333,1.0008588346969218,1.004791845150798,1.0049338787020472,0.1855480968341368,0.0,0.0
0.003,degree4,fixed_c1,0.9633333333333332,0.9633333333333332,0.0,890.7666666666667,890.7666666666667,1.0,1.0002199510242387,1.0002604166666669,0.1629140311063616,0.0,0.0
0.005,degree4,fixed_c1,0.98,0.98,0.0,1175.5,1175.5,1.0,1.0001473426748588,1.0002604166666669,0.141270583687316,0.0,0.0
0.007,degree4,fixed_c1,0.8133333333333332,0.8,0.013333333333333197,882.7,872.7,1.0114586914174402,1.0283474603275764,1.0385016926749857,0.1476302225129159,0.0,0.0
0.01,degree4,fixed_c1,0.8366666666666667,0.8366666666666667,0.0,1028.9,1034.6666666666667,0.9944265463917525,0.9976595412700889,1.0085040779350538,0.12807288134935,0.0,0.0
0.02,degree4,fixed_c1,0.7833333333333333,0.7833333333333333,0.0,1452.8666666666666,1448.3666666666666,1.0031069480564314,1.0043403586787203,1.000438896488828,0.0986026370495135,0.0,0.0
0.001,degree8,fixed_c1,1.0,0.99,0.010000000000000009,540.0666666666667,514.6666666666666,1.0493523316062179,1.6677008229553563,1.6790859173126615,0.2492092109928896,0.0,0.0
0.002,degree8,fixed_c1,0.9733333333333332,0.9666666666666668,0.0066666666666663765,752.0,737.4333333333333,1.0197531980292005,1.1777193721230779,1.1882420555058637,0.1844816253353846,0.0,0.0
0.003,degree8,fixed_c1,0.9766666666666668,0.9633333333333332,0.013333333333333641,897.4666666666667,890.7666666666667,1.0075216105976126,1.0701203865272666,1.0741564798250844,0.1636545806257883,0.0,0.0
0.005,degree8,fixed_c1,0.98,0.98,0.0,1176.9,1175.5,1.0011909825606127,1.01362919742445,1.0161337209302326,0.1410135034506202,0.0,0.0
0.007,degree8,fixed_c1,0.86,0.8,0.05999999999999994,1009.3666666666668,872.7,1.1566021160383484,1.4213498183672169,1.4975496075982375,0.134487242792087,0.0,0.0
